Pool Id,RecordNumner,RemainingCoins,EmissionRate,MinUptime
1276,18,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,19,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,20,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,21,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,22,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,23,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,24,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,25,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,26,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,27,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,28,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,29,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,30,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,31,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,32,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,33,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,34,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,35,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,36,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,37,33726.000000000000000000uosmo,0.390347222222222222,1ns
1276,38,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,39,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,40,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,41,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,42,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,43,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,44,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,45,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,46,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,47,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,48,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,49,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,50,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,51,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,52,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,53,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,54,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,55,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,56,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,57,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,58,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,59,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,60,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,61,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,62,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,63,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,64,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,65,37447.000000000000000000uosmo,0.433414351851851851,1ns
1276,66,47331.000000000000000000uosmo,0.547812500000000000,1ns
1276,67,47331.000000000000000000uosmo,0.547812500000000000,1ns
1276,68,47331.000000000000000000uosmo,0.547812500000000000,1ns
1276,69,47331.000000000000000000uosmo,0.547812500000000000,1ns
1276,70,47331.000000000000000000uosmo,0.547812500000000000,1ns
1276,71,47331.000000000000000000uosmo,0.547812500000000000,1ns
1276,72,47331.000000000000000000uosmo,0.547812500000000000,1ns
1276,73,47331.000000000000000000uosmo,0.547812500000000000,1ns
1276,74,47331.000000000000000000uosmo,0.547812500000000000,1ns
1276,75,47331.000000000000000000uosmo,0.547812500000000000,1ns
1276,76,47331.000000000000000000uosmo,0.547812500000000000,1ns
1276,77,47331.000000000000000000uosmo,0.547812500000000000,1ns
1277,-1,No remaining coins,No emission rate,No uptime
1278,0,509263.912468426091126038uosmo,76.015185185185185185,1ns
1279,0,6208876.462871470147745989uosmo,827.519849537037037037,1ns
1280,0,117.764427603307399744uosmo,0.001608796296296296,1ns
1280,1,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,2,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,3,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,4,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,5,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,6,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,7,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,8,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,9,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,10,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,11,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,12,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,13,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,14,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,15,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,16,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,17,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,18,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,19,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,20,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,21,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,22,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,23,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,24,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,25,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,26,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,27,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,28,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,29,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,30,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,31,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,32,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,33,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,34,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,35,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,36,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,37,422.000000000000000000uosmo,0.004884259259259259,1ns
1281,0,85747691.394138293559081271uosmo,11663.970752314814814814,1ns
1282,0,9516870.530493149982233548uosmo,926.842835648148148148,1ns
1283,0,18231435.591454229876845389uosmo,1992.701377314814814814,1ns
1292,0,1921.771361821291789856uosmo,0.033321759259259259,1ns
1292,1,2879.000000000000000000uosmo,0.033321759259259259,1ns
1293,-1,No remaining coins,No emission rate,No uptime
1294,-1,No remaining coins,No emission rate,No uptime
1297,-1,No remaining coins,No emission rate,No uptime
1298,-1,No remaining coins,No emission rate,No uptime
1299,-1,No remaining coins,No emission rate,No uptime
1301,-1,No remaining coins,No emission rate,No uptime
1302,-1,No remaining coins,No emission rate,No uptime
1303,-1,No remaining coins,No emission rate,No uptime
1304,-1,No remaining coins,No emission rate,No uptime
1305,-1,No remaining coins,No emission rate,No uptime
1312,-1,No remaining coins,No emission rate,No uptime
1314,-1,No remaining coins,No emission rate,No uptime
1315,-1,No remaining coins,No emission rate,No uptime
1316,-1,No remaining coins,No emission rate,No uptime
1317,-1,No remaining coins,No emission rate,No uptime
1318,-1,No remaining coins,No emission rate,No uptime
1319,-1,No remaining coins,No emission rate,No uptime
1321,0,2387347.327937188371562500uosmo,251.772812500000000000,1ns
1322,0,35353.206172778902109127uosmo,3.914583333333333333,1ns
1323,0,596872190300029868577.987082544233566133ibc/8061A06D3BD4D52C4A28FFECF7150D370393AF0BA661C3776C54FF32836C3961,29868578255675029.868564814814814814,24h0m0s
1323,1,607000219219892473118.006419793824167708ibc/8061A06D3BD4D52C4A28FFECF7150D370393AF0BA661C3776C54FF32836C3961,29868578255675029.868564814814814814,24h0m0s
1323,2,609720256846117084826.487872001504075041ibc/8061A06D3BD4D52C4A28FFECF7150D370393AF0BA661C3776C54FF32836C3961,29868578255675029.868564814814814814,24h0m0s
1323,3,645161290322580645161.000000000000000000ibc/8061A06D3BD4D52C4A28FFECF7150D370393AF0BA661C3776C54FF32836C3961,29868578255675029.868564814814814814,24h0m0s
1324,-1,No remaining coins,No emission rate,No uptime
1325,0,1541919824.324975897183796777factory/osmo1mlng7pz4pnyxtpq0akfwall37czyk9lukaucsrn30ameplhhshtqdvfm5c/ulvn,77160.493796296296296296,24h0m0s
1325,1,1568083899.024155329028333713factory/osmo1mlng7pz4pnyxtpq0akfwall37czyk9lukaucsrn30ameplhhshtqdvfm5c/ulvn,77160.493796296296296296,24h0m0s
1325,2,1575110662.889091537061481834factory/osmo1mlng7pz4pnyxtpq0akfwall37czyk9lukaucsrn30ameplhhshtqdvfm5c/ulvn,77160.493796296296296296,24h0m0s
1325,3,1666666666.000000000000000000factory/osmo1mlng7pz4pnyxtpq0akfwall37czyk9lukaucsrn30ameplhhshtqdvfm5c/ulvn,77160.493796296296296296,24h0m0s
1331,-1,No remaining coins,No emission rate,No uptime
1332,-1,No remaining coins,No emission rate,No uptime
1334,-1,No remaining coins,No emission rate,No uptime
1335,0,9357107.855707008533048233uosmo,1395.830902777777777777,1ns
1336,-1,No remaining coins,No emission rate,No uptime
1337,0,1541919824.324975897183796777factory/osmo1mlng7pz4pnyxtpq0akfwall37czyk9lukaucsrn30ameplhhshtqdvfm5c/ulvn,77160.493796296296296296,24h0m0s
1337,1,1568083899.024155329028333713factory/osmo1mlng7pz4pnyxtpq0akfwall37czyk9lukaucsrn30ameplhhshtqdvfm5c/ulvn,77160.493796296296296296,24h0m0s
1337,2,1575110662.889091537061481834factory/osmo1mlng7pz4pnyxtpq0akfwall37czyk9lukaucsrn30ameplhhshtqdvfm5c/ulvn,77160.493796296296296296,24h0m0s
1337,3,1666666666.000000000000000000factory/osmo1mlng7pz4pnyxtpq0akfwall37czyk9lukaucsrn30ameplhhshtqdvfm5c/ulvn,77160.493796296296296296,24h0m0s
1347,0,1744660.275362291008393586uosmo,194.002777777777777777,1ns
1348,0,7.730718603119284859uosmo,6.653796296296296296,1ns
1348,1,474871.000000000000000000uosmo,5.496192129629629629,1ns
1349,-1,No remaining coins,No emission rate,No uptime
1350,-1,No remaining coins,No emission rate,No uptime
1351,-1,No remaining coins,No emission rate,No uptime
1358,-1,No remaining coins,No emission rate,No uptime
1359,-1,No remaining coins,No emission rate,No uptime
1360,-1,No remaining coins,No emission rate,No uptime
1361,-1,No remaining coins,No emission rate,No uptime
1370,-1,No remaining coins,No emission rate,No uptime
1372,-1,No remaining coins,No emission rate,No uptime
1373,-1,No remaining coins,No emission rate,No uptime
1376,-1,No remaining coins,No emission rate,No uptime
1378,-1,No remaining coins,No emission rate,No uptime
1379,-1,No remaining coins,No emission rate,No uptime
1384,-1,No remaining coins,No emission rate,No uptime
1387,-1,No remaining coins,No emission rate,No uptime
1388,-1,No remaining coins,No emission rate,No uptime
1397,-1,No remaining coins,No emission rate,No uptime
1398,-1,No remaining coins,No emission rate,No uptime
1399,0,48705552.808033999529523736uosmo,7274.956423611111111111,1ns
1400,0,185801550.157779501983396139uosmo,26723.627777777777777777,1ns
1407,-1,No remaining coins,No emission rate,No uptime
1409,-1,No remaining coins,No emission rate,No uptime
1410,-1,No remaining coins,No emission rate,No uptime
1416,-1,No remaining coins,No emission rate,No uptime
