Pool Id,Incentive Accumulator
1136,"18010573505698000000000.000000000000000000ibc/A8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4,10610003146870945444596240.110580338461362517uosmo"
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,6728020124652241382916.328447006671904341uosmo
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,118743529071029380000000000.000000000000000000ibc/B1C1806A540B3E165A2D42222C59946FB85BA325596FC85662D7047649F419F3
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1213,1476241000000000.000000000000000000ibc/9BBA9A1C257E971E38C1422780CE6F0B0686F0A3085E2D61118D904BFE0F5F5E
1214,0
1215,0
1216,0
1220,"17585513213778000000000.000000000000000000ibc/57AA1A70A4BC9769C525EBF6386F7A21536E04A79D62E1981EFCEF9428EBB205,30844455032948040094960.561924674377448335uosmo"
1221,45533884729411264124780930.487286013067572426uosmo
1223,141861730805198398137202.799812993219701083uosmo
1224,0
1227,"13119318502887748000000000.000000000000000000ibc/01D2F0C4739C871BFBEE7E786709E6904A55559DC1483DD92ED392EF12247862,2086864062220803134825.193814071611277795uosmo"
1227,6405951032517424098226967.899042492418370728ibc/01D2F0C4739C871BFBEE7E786709E6904A55559DC1483DD92ED392EF12247862
1228,300063209712309112781.005106780603557658ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4
1230,0
1243,161143214526569384236000000000.000000000000000000ibc/D176154B0C63D1F9C6DCFB4F70349EBF2E2B5A87A05902F57A6AE92B863E9AEC
1245,0
1246,140040702797000000000.000000000000000000uosmo
1247,196476327478621118128374472.774613076889035665uosmo
1248,43053266578749980025008717.755454071075657700uosmo
1251,6855927180488729135975146.564703170828929487uosmo
1252,0
1253,0
1258,0
1259,0
1260,598770180822969555.721273599943043302uosmo
1261,14368997623884926119.705008798898634586uosmo
1262,0
1263,160353295625050349483662264.155919664296944298uosmo
1264,285476715678904648031.061383080672580598uosmo
1265,71444156700460458235456357.080938516465036718uosmo
1267,0
1268,20125679806870000000000.000000000000000000factory/osmo1s794h9rxggytja3a4pmwul53u98k06zy2qtrdvjnfuxruh7s8yjs6cyxgd/umbrn
1271,0
1272,0
1273,0
1274,404249264668273765288144.906731583569916961uosmo
1275,11990981148919931.375042593861483536uosmo
1276,11787608000000000.000000000000000000uosmo
1277,24201895963409601000000000.000000000000000000uosmo
1278,5388513816250699412991.054450925545783704uosmo
1279,"272901338893000000000.000000000000000000ibc/57AA1A70A4BC9769C525EBF6386F7A21536E04A79D62E1981EFCEF9428EBB205,2872028738775406682603.277055377034708163uosmo"
1280,"1736473301609000000000.000000000000000000ibc/57AA1A70A4BC9769C525EBF6386F7A21536E04A79D62E1981EFCEF9428EBB205,88904804786000000000.000000000000000000uosmo"
1281,3338773858558166855115092.910426912839134821uosmo
1282,72403008842637668796238478.532568558332281667uosmo
1283,3851316963316260833257167.125649734617139537uosmo
1292,1518327939518486.456001493632264960uosmo
1293,0
1294,0
1297,0
1298,0
1299,0
1301,0
1302,673462086539005425000000000.000000000000000000ibc/FE2CD1E6828EC0FAB8AF39BAC45BC25B965BA67CCBC50C13A14BD610B0D1E2C4
1303,0
1304,0
1305,0
1312,0
1314,5338742818784204000000000.000000000000000000ibc/1B708808D372E959CD4839C594960309283424C775F4A038AAEBE7F83A988477
1315,0
1316,0
1317,0
1318,409699846486121586000000000.000000000000000000ibc/EDD6F0D66BCD49C1084FB2C35353B4ACD7B9191117CE63671B61320548F7C89D
1319,0
1321,130544418798234162797361735295.256989864869811059uosmo
1322,763684725166100774386558147.082454237080163924uosmo
1323,701968353158882749417719172926000000000.000000000000000000ibc/8061A06D3BD4D52C4A28FFECF7150D370393AF0BA661C3776C54FF32836C3961
1323,4329631570868412285362137229497138.573361122344385724ibc/8061A06D3BD4D52C4A28FFECF7150D370393AF0BA661C3776C54FF32836C3961
1324,0
1325,104028916460258288000000000.000000000000000000factory/osmo1mlng7pz4pnyxtpq0akfwall37czyk9lukaucsrn30ameplhhshtqdvfm5c/ulvn
1325,53510658114536891248290934.163266412498386493factory/osmo1mlng7pz4pnyxtpq0akfwall37czyk9lukaucsrn30ameplhhshtqdvfm5c/ulvn
1331,0
1332,0
1334,0
1335,262240124670885523710902.483562081491541105uosmo
1336,0
1337,85006183881906416000000000.000000000000000000factory/osmo1mlng7pz4pnyxtpq0akfwall37czyk9lukaucsrn30ameplhhshtqdvfm5c/ulvn
1337,114135026646621485893335414.591472961580395148factory/osmo1mlng7pz4pnyxtpq0akfwall37czyk9lukaucsrn30ameplhhshtqdvfm5c/ulvn
1347,27802664772667699444089633.535193519071383305uosmo
1348,6428421792638100488527716.043882107796985922uosmo
1349,0
1350,0
1351,0
1358,0
1359,0
1360,0
1361,0
1370,0
1372,26574571487236194000000000.000000000000000000ibc/9BBA9A1C257E971E38C1422780CE6F0B0686F0A3085E2D61118D904BFE0F5F5E
1373,0
1376,0
1378,0
1379,0
1384,0
1387,0
1388,0
1397,633715743045000000000.000000000000000000ibc/A8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4
1398,0
1399,18399859322822930555581608.901037934071292134uosmo
1400,16249081733306828989970439.318274370984834532uosmo
1407,0
1409,0
1410,0
1416,0
1417,0
1418,0
1419,0
1422,204318377685503877076248420.675051995777781924uosmo
1423,72917484305.102425268189537284ibc/A8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4
1423,445502418603.468114418255857407ibc/A8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4
1427,0
1428,"69298850324324000000000.000000000000000000ibc/A8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4,50699314154970570679355.569137732247956129uosmo"
1430,311397926473589810000000000.000000000000000000uosmo
1431,45419560113.856146890309249469uosmo
1431,222402174691563.792009779751186753ibc/903A61A498756EA560B85A85132D3AEE21B5DEDD41213725D22ABF276EA6945E
1432,828364694091204178290656549.944277273007523011uosmo
1433,1340461230744349064236811440.681983323342741242uosmo
1434,253683991960132149202048838.773243916279099711uosmo
1435,63345917556116151365854987.298768553135466701uosmo
1436,129881577601104175730793082.612994285795770141uosmo
1437,1451932611777494620958540230.044685454184952932uosmo
1438,42013844943869976120689386.978351922148262009uosmo
1439,259845433930155821569328241.355368299616525930uosmo
1440,4228451902866948953578.546468542469791173uosmo
1441,3313434089894640811128.021412506151572448uosmo
1447,0
1449,0
1450,0
1464,34859526290100789959904541.830315130958573501uosmo
1465,1131533364030831741003973.173569932779735487uosmo
1472,0
1474,0
1475,753791164509554221789892.728384966294343991uosmo
1476,2087188684454028064778743.288088387114464149uosmo
1477,163222550728160311700.737260070058695213uosmo
1478,5536146264491396083566146.341978334602167104uosmo
1479,0
1480,0
1481,0
1482,0
1483,0
1490,0
1492,0
1500,0
1501,0
1502,0
1503,0
1504,0
1506,0
1507,0
1512,0
1516,0
1517,0
1565,0
1566,0
1580,0
1581,0
1588,0
1589,0
1590,0
1591,0
1592,0
1593,0
1594,0
1597,0
1598,0
1600,0
1604,0
1605,0
1609,0
1610,0
